Simulation,Precision,Recall,F1 Score,Tool
Soil_Full_Lognormal,0.03464846499954088,0.8028368794326242,0.06642997564625451,Metaphinder
Gut_Low_Exponential,0.275,0.9166666666666666,0.4230769230769231,Metaphinder
Gut_Medium_Uniform,0.10138888888888889,0.8795180722891566,0.18181818181818182,Metaphinder
Soil_Low_Uniform,0.23076923076923078,1.0,0.375,Metaphinder
Gut_Low_Uniform,0.26666666666666666,0.9230769230769231,0.4137931034482759,Metaphinder
Soil_Full_Halfnormal,0.022617368527100543,0.7539882451721243,0.0439173493092065,Metaphinder
Soil_Full_Zero,0.024236562921282456,0.7216404886561955,0.04689803788136554,Metaphinder
Gut_Low_Halfnormal,0.2608695652173913,0.9230769230769231,0.4067796610169491,Metaphinder
Gut_Full_Uniform,0.00742879273316199,0.6839546191247974,0.014697943332810895,Metaphinder
Soil_Low_Exponential,0.2619047619047619,0.9166666666666666,0.4074074074074074,Metaphinder
Gut_Low_Lognormal,0.09917355371900827,0.8571428571428571,0.17777777777777778,Metaphinder
Soil_Low_Zero,0.039603960396039604,0.9230769230769231,0.0759493670886076,Metaphinder
Gut_Full_Lognormal,0.02363719011154236,0.7629796839729119,0.04585382397829404,Metaphinder
Soil_Full_Exponential,0.032279273638071385,0.7942989214175655,0.06203742704133823,Metaphinder
Gut_Medium_Lognormal,0.0076803511017646525,0.7433628318584071,0.015203619909502263,Metaphinder
Soil_Medium_Exponential,0.04580559254327563,0.7782805429864253,0.08651911468812877,Metaphinder
Gut_Medium_Halfnormal,0.024914675767918087,0.8439306358381503,0.04840046411403945,Metaphinder
Gut_Full_Halfnormal,0.021912460134169143,0.8293444328824141,0.04269680979294458,Metaphinder
Soil_Medium_Uniform,0.10151515151515152,0.9305555555555556,0.1830601092896175,Metaphinder
Soil_Medium_Lognormal,0.010249051962693451,0.7936507936507936,0.020236770211474252,Metaphinder
Gut_Medium_Exponential,0.02367109634551495,0.9193548387096774,0.046153846153846156,Metaphinder
Gut_Full_Exponential,0.02926942583917302,0.8513513513513513,0.056593180372047754,Metaphinder
Soil_Medium_Zero,0.012329223592135955,0.9024390243902439,0.024326101249178174,Metaphinder
Soil_Full_Uniform,0.012179721045098645,0.6791862284820032,0.02393030436700485,Metaphinder
Gut_Full_Zero,0.024979647799820044,0.7671052631578947,0.0483837503630856,Metaphinder
Gut_Medium_Zero,0.019953262628078373,0.7872340425531915,0.03892005610098176,Metaphinder
Soil_Low_Halfnormal,0.18840579710144928,0.9285714285714286,0.3132530120481928,Metaphinder
Soil_Medium_Halfnormal,0.0185794464873234,0.8571428571428571,0.036370524720591026,Metaphinder
Gut_Low_Zero,0.21052631578947367,0.8571428571428571,0.33802816901408456,Metaphinder
Gut_Medium_Zero,0.03710490151168117,0.574468085106383,0.06970740103270223,VirBrant_Proteins
Gut_Medium_Halfnormal,0.04608294930875576,0.5780346820809249,0.08536064874093043,VirBrant_Proteins
Gut_Low_Halfnormal,0.5,1.0,0.6666666666666666,VirBrant_Proteins
Gut_Full_Lognormal,0.040097205346294046,0.5586907449209932,0.07482427632076186,VirBrant_Proteins
Soil_Medium_Lognormal,0.022010076902678335,0.6587301587301587,0.04259686938670773,VirBrant_Proteins
Soil_Low_Lognormal,0.07142857142857142,1.0,0.13333333333333333,VirBrant_Proteins
Gut_Low_Zero,0.41379310344827586,0.9230769230769231,0.5714285714285715,VirBrant_Proteins
Gut_Low_Uniform,0.46153846153846156,1.0,0.631578947368421,VirBrant_Proteins
