Simulation,Precision,Recall,F1 Score,Tool
Soil_Medium_Uniform,0.014950166112956811,0.6923076923076923,0.029268292682926828,Metaphinder
Soil_Medium_Lognormal,0.003919546157813306,0.6229508196721312,0.007790077900779008,Metaphinder
Gut_Medium_Exponential,0.006899464939453675,0.7777777777777778,0.013677599441730633,Metaphinder
Gut_Full_Exponential,0.005473801118559359,0.6216216216216216,0.010852042621790587,Metaphinder
Soil_Medium_Zero,0.003194888178913738,0.7307692307692307,0.006361962163067135,Metaphinder
Soil_Full_Uniform,0.00804576646141273,0.5850409836065574,0.01587323650010425,Metaphinder
Gut_Full_Zero,0.00711200314149832,0.5582191780821918,0.014045064839946579,Metaphinder
Gut_Medium_Zero,0.007464045148370653,0.5857142857142857,0.01474024806758943,Metaphinder
Soil_Low_Halfnormal,0.0,0.0,0.0,Metaphinder
Soil_Medium_Halfnormal,0.002949272512780181,0.5555555555555556,0.005867396831605711,Metaphinder
Gut_Low_Zero,0.021739130434782608,1.0,0.042553191489361694,Metaphinder
Gut_Medium_Zero,0.011288805268109126,0.34285714285714286,0.021857923497267763,VirBrant_Proteins
Gut_Medium_Halfnormal,0.007670182166826462,0.2857142857142857,0.014939309056956113,VirBrant_Proteins
Gut_Low_Halfnormal,0.0,0.0,0.0,VirBrant_Proteins
Gut_Full_Lognormal,0.008700016730801405,0.35986159169550175,0.01698930000816793,VirBrant_Proteins
Soil_Medium_Lognormal,0.00646551724137931,0.39344262295081966,0.012721971905645373,VirBrant_Proteins
Soil_Low_Lognormal,0.0,0.0,0.0,VirBrant_Proteins
Gut_Low_Zero,0.0,0.0,0.0,VirBrant_Proteins
Gut_Low_Uniform,0.0,0.0,0.0,VirBrant_Proteins
Soil_Full_Exponential,0.011960443672323934,0.3333333333333333,0.02309230471521641,VirBrant_Proteins
Gut_Medium_Uniform,0.032362459546925564,0.3225806451612903,0.058823529411764705,VirBrant_Proteins
Soil_Low_Zero,0.0,0.0,0.0,VirBrant_Proteins
