Simulation,Precision,Recall,F1 Score,Tool
Gut_Low_Halfnormal,0.46153846153846156,0.9230769230769231,0.6153846153846155,Metaphinder
Gut_Full_Uniform,0.1596169193934557,0.8695652173913043,0.26972353337828725,Metaphinder
Soil_Low_Exponential,0.4074074074074074,0.9166666666666666,0.5641025641025641,Metaphinder
Gut_Low_Lognormal,0.22641509433962265,0.9230769230769231,0.36363636363636365,Metaphinder
Soil_Low_Zero,0.3157894736842105,0.9230769230769231,0.47058823529411764,Metaphinder
Gut_Full_Lognormal,0.2250252270433905,0.8544061302681992,0.3562300319488818,Metaphinder
Soil_Full_Exponential,0.2360557768924303,0.9595141700404858,0.3788968824940048,Metaphinder
Gut_Medium_Lognormal,0.17232375979112272,0.9041095890410958,0.28947368421052627,Metaphinder
Soil_Medium_Exponential,0.14600550964187328,0.9464285714285714,0.25298329355608595,Metaphinder
Gut_Medium_Halfnormal,0.1702127659574468,0.9230769230769231,0.2874251497005988,Metaphinder
Gut_Full_Halfnormal,0.1561712846347607,0.916256157635468,0.266857962697274,Metaphinder
Soil_Medium_Uniform,0.17771084337349397,0.9365079365079365,0.29873417721518986,Metaphinder
Soil_Medium_Lognormal,0.1724137931034483,0.9090909090909091,0.2898550724637681,Metaphinder
Gut_Medium_Exponential,0.1367713004484305,0.953125,0.2392156862745098,Metaphinder
Gut_Full_Exponential,0.18371400198609733,0.9343434343434344,0.3070539419087137,Metaphinder
Soil_Medium_Zero,0.1676829268292683,0.9649122807017544,0.28571428571428575,Metaphinder
Soil_Full_Uniform,0.41784037558685444,0.9744525547445255,0.5848849945235487,Metaphinder
Gut_Full_Zero,0.19640718562874251,0.8864864864864865,0.3215686274509804,Metaphinder
Gut_Medium_Zero,0.1672473867595819,0.96,0.28486646884273,Metaphinder
Soil_Low_Halfnormal,0.3333333333333333,0.9230769230769231,0.489795918367347,Metaphinder
Soil_Medium_Halfnormal,0.15616438356164383,0.95,0.26823529411764707,Metaphinder
Gut_Low_Zero,0.42857142857142855,0.9230769230769231,0.5853658536585366,Metaphinder
Gut_Medium_Zero,0.23404255319148937,0.88,0.36974789915966383,VirBrant_Proteins
Gut_Medium_Halfnormal,0.2608695652173913,0.7692307692307693,0.38961038961038963,VirBrant_Proteins
Gut_Low_Halfnormal,0.6666666666666666,0.9230769230769231,0.7741935483870968,VirBrant_Proteins
Gut_Full_Lognormal,0.2385542168674699,0.7586206896551724,0.36296975252062325,VirBrant_Proteins
Soil_Medium_Lognormal,0.21825396825396826,0.8333333333333334,0.3459119496855346,VirBrant_Proteins
Soil_Low_Lognormal,0.24,0.9230769230769231,0.38095238095238093,VirBrant_Proteins
Gut_Low_Zero,0.5217391304347826,0.9230769230769231,0.6666666666666667,VirBrant_Proteins
Gut_Low_Uniform,0.631578947368421,0.9230769230769231,0.7499999999999999,VirBrant_Proteins
Soil_Full_Exponential,0.24852767962308597,0.854251012145749,0.38503649635036497,VirBrant_Proteins
Gut_Medium_Uniform,0.2903225806451613,0.7714285714285715,0.421875,VirBrant_Proteins
Soil_Low_Zero,0.375,0.9230769230769231,0.5333333333333333,VirBrant_Proteins
Gut_Full_Halfnormal,0.19358533791523483,0.8325123152709359,0.3141263940520446,VirBrant_Proteins
Gut_Full_Uniform,0.1817258883248731,0.7782608695652173,0.29465020576131684,VirBrant_Proteins
Soil_Full_Halfnormal,0.22918707149853085,0.8863636363636364,0.3642023346303502,VirBrant_Proteins
Gut_Full_Zero,0.26779026217228463,0.772972972972973,0.39777468706536856,VirBrant_Proteins
Gut_Low_Lognormal,0.41379310344827586,0.9230769230769231,0.5714285714285715,VirBrant_Proteins
Soil_Low_Uniform,0.3870967741935484,0.9230769230769231,0.5454545454545454,VirBrant_Proteins
Soil_Medium_Halfnormal,0.23076923076923078,0.85,0.36298932384341637,VirBrant_Proteins
Gut_Medium_Lognormal,0.21851851851851853,0.8082191780821918,0.34402332361516036,VirBrant_Proteins
Soil_Full_Lognormal,0.3152909336941813,0.8893129770992366,0.46553446553446554,VirBrant_Proteins
Soil_Low_Halfnormal,0.3870967741935484,0.9230769230769231,0.5454545454545454,VirBrant_Proteins
Gut_Medium_Exponential,0.22268907563025211,0.828125,0.3509933774834437,VirBrant_Proteins
Soil_Full_Uniform,0.3386243386243386,0.9343065693430657,0.4970873786407766,VirBrant_Proteins
Soil_Medium_Zero,0.24083769633507854,0.8070175438596491,0.3709677419354839,VirBrant_Proteins
Soil_Low_Exponential,0.5238095238095238,0.9166666666666666,0.6666666666666667,VirBrant_Proteins
Soil_Medium_Exponential,0.17921146953405018,0.8928571428571429,0.29850746268656714,VirBrant_Proteins
Soil_Medium_Uniform,0.33986928104575165,0.8253968253968254,0.4814814814814815,VirBrant_Proteins
Gut_Low_Exponential,0.7333333333333333,0.9166666666666666,0.8148148148148148,VirBrant_Proteins
